Categories,Dimension,Notes,Valeur,Unite,Driving/Driven

Informations generales,Nom,,,,Driving
Informations generales,Adresse courriel,,,,Driving
Informations generales,Téléphone,,,,Driving
Informations generales,Adresse postale 1,,,,Driving
Informations generales,Adresse postale 2,,,,Driving
Informations generales,Adresse postale 3,,,,Driving
Informations generales,Adresse postale 4,,,,Driving
Informations generales,Notes,,,,Driving
Informations generales,Titre du bloque notes,,,,Driving
Informations generales,Brand,,VILLAIN,,Driving
Informations generales,Model,,Flextail-v3,,Driving
Informations generales,Frame #,,,,Driving
Informations generales,Size,,custom,,Driving
Informations generales,Model year,,2018,,Driving
Informations generales,Style,,VTT,,Driving
Informations generales,Primary material,,Titanium,,Driving
Informations generales,Logo (Tube diagonal 1),,VILLAIN,,Driving
Informations generales,Font (tube diagonal 1),,Serotta/ Gras,,Driving
Informations generales,Logo (Tube diagonal 2),,N/A,,Driving
Informations generales,Font (tube diagonal 2),,N/A,,Driving
Informations generales,Logo (Tube de selle 1),,N/A,,Driving
Informations generales,Font (tube de selle 1),,N/A,,Driving
Informations generales,Logo (Tube de selle 2),,N/A,,Driving
Informations generales,Font (tube de selle 2),,N/A,,Driving
Informations generales,Logo (Tube superieur 1),,N/A,,Driving
Informations generales,Font (tube superieur 1),,N/A,,Driving
Informations generales,Logo (Tube superieur 2),,N/A,,Driving
Informations generales,Font (Tube superieur 2),,N/A,,Driving
Informations generales,Logo (Potence 1),,N/A,,Driving
Informations generales,Font (potence 1),,N/A,,Driving
Informations generales,Logo (Potence 2),,N/A,,Driving
Informations generales,Font (potence 2),,N/A,,Driving
Informations generales,Logo (Roue arriere 1),,N/A,,Driving
Informations generales,Font (roue arriere 1),,N/A,,Driving
Informations generales,Logo (Roue arrier 2),,N/A,,Driving
Informations generales,Font (roue arriere 2),,N/A,,Driving
Informations generales,Logo (Roue avant 1),,N/A,,Driving
Informations generales,Font (roue avant 1),,N/A,,Driving
Informations generales,Logo (Roue avant 2),,N/A,,Driving
Informations generales,Font (roue avant 2),,N/A,,Driving
Informations generales,Logo (Fourche 1),,N/A,,Driving
Informations generales,Font (fourche 1),,N/A,,Driving
Informations generales,Logo (Fourche 2),,N/A,,Driving
Informations generales,Font (fourche 2),,N/A,,Driving
Informations generales,Logo (Potence 1),,N/A,,Driving
Informations generales,Font (potence 1),,N/A,,Driving
Informations generales,Logo (Potence 2),,N/A,,Driving
Informations generales,Font (potence 2),,N/A,,Driving
Informations generales,Logo (Potence 1),,N/A,,Driving
Informations generales,Font (potence 1),,N/A,,Driving
Informations generales,Logo (Potence 2),,N/A,,Driving
Informations generales,Font (potence 2),,N/A,,Driving
Informations generales,Arrangement de peinture,,Plein,,Driving
Informations generales,Projection relative de l'avant,Horizontal distance from the front hub to the steerer tube axis divided by the diameter of the front wheel,0.064,,Driven
Informations generales,Critere de stabilite de Jones  (Bicycling Science 2nd Edition),,-3.271,,Driven
Informations generales,Critere de stabilite de Jones  (Bicycling Science 3rd Edition),,0.119,,Driven
Composents/General,Aerobar pad reach,,538,mm,Driven
Composents/General,Aerobar reach to back of pad,,493,mm,Driven
Composents/General,Aerobar pad stack,,664,mm,Driven
Composents/General,Aerobar pad reach from saddle,,705,mm,Driven
Composents/General,Plonge des repose avant bras,,77,mm,Driven
Composents/General,BB to front tire,,362,mm,Driven
Composents/General,Down tube to front tire,,101,mm,Driven
Composents/General,Angle de tube de selle (effectif),,77.3,°,Driven
Composents/General,End of handlebar reach,,521,mm,Driven
Composents/General,End of handlebar stack,,645,mm,Driven
Composents/General,End of handlebar reach from saddle,,689,mm,Driven
Composents/General,End of handlebar drop from saddle,,96,mm,Driven
Composents/General,Plonge du cintre,,97,mm,Driven
Composents/General,Plonge du cintre (sommet du cintre),,84,mm,Driven
Composents/General,Cintre depuis boitier de pedalier (X),,538,mm,Driven
Composents/General,Cintre depuis boitier de pedalier (Y),,644,mm,Driven
Composents/General,Cintre depuis boitier de pedalier (Direct),,839,mm,Driven
Composents/General,Hauteur cintre depuis le sol,,952,mm,Driven
Composents/General,Hauteur cintre depuis le sol (handlebar end),,953,mm,Driven
Composents/General,Cintre a axe avant,,614,mm,Driven
Composents/General,Cintre a axe avant 2,,602,mm,Driven
Composents/General,Cintre a axe avant (X),,189,mm,Driven
Composents/General,Axe cintre et tube de selle,,716,mm,Driven
Composents/General,Lean angle,,38.2,°,Driven
Composents/General,Rear axle to tail of saddle (X),,124,mm,Driven
Composents/General,Compartiment cycliste,,705,mm,Driven
Composents/General,Rider compartment (slanted),,712,mm,Driven
Composents/General,Attache de la selle a la boite de pedalier,,714,mm,Driven
Composents/General,Attache de la selle a la boite de pedalier (X),,162,mm,Driven
Composents/General,Attache de la selle a la boite de pedalier (Y),,696,mm,Driven
Composents/General,Serrage de la selle au cintre,,701,mm,Driven
Composents/General,Selle depuis la boite de pedalier(X),,168,mm,Driven
Composents/General,Selle depuis la boite de pedalier(Y),,741,mm,Driven
Composents/General,Hauteur de selle,,760,mm,Driving
Composents/General,Hauteur de selle depuis le sol,,1049,mm,Driven
Composents/General,Recul de bec de selle,,20,mm,Driven
Composents/General,Saddle tail to handlebar,,851,mm,Driven
Composents/General,Bout de selle au poignees de freins(Directe),,778,mm,Driven
Composents/General,Bout de selle au poignees de freins (Projete),,688,mm,Driven
Composents/General,Bec de selle a attache chariot de tige de selle,,142,mm,Driven
Composents/General,Saddle tip to handlebar end (Direct),,657,mm,Driven
Composents/General,Saddle tip to handlebar end (Projected),,546,mm,Driven
Composents/General,Distance bec de selle à dessus axe du cintre,,563,mm,Driven
Composents/General,Distance bec de selle à dessus axe du cintre 2,,550,mm,Driven
Composents/General,Distance bec de selle à dessus axe du cintre (Horizontale),,557,mm,Driven
Composents/General,Saddle to drive side pedal,,815,mm,Driven
Composents/General,Saddle to non-drive side pedal,,741,mm,Driven
Composents/General,Shoe and crank size in toe overlap view,,N/A,,Driving
Composents/General,ISO 4210-2: 4.13.2.2 Toe clearance,,N/A,,Driven
Composents/General,ISO 4210-2: Annex A, b),,0,mm,Driven
Composents/General,Stem base to handlebar end (X),,54,mm,Driven
Composents/General,Stem base to handlebar end (Y),,31,mm,Driven
Composents/General,Stem base to handlebar end 2 (X),,62,mm,Driven
Composents/General,Stem base to handlebar end 2 (Y),,9,mm,Driven
Composents/General,W factor,,266,mm,Driven
Composents/Manivelles,Standard,,Custom,,Driving
Composents/Manivelles,Plateaux,,2,,Driving
Composents/Manivelles,Range,,38/24,,Driving
Composents/Manivelles,A,,170,mm,Driving
Composents/Manivelles,B,,40,mm,Driving
Composents/Manivelles,C,,30,mm,Driving
Composents/Manivelles,D,,26,mm,Driving
Composents/Manivelles,E,,14,mm,Driving
Composents/Manivelles,F,,5,mm,Driving
Composents/Manivelles,G,,3,mm,Driving
Composents/Manivelles,H,,8,mm,Driving
Composents/Manivelles,Q,,165,mm,Driving
Composents/Manivelles,S,,100,mm,Driving
Composents/Manivelles,L1,,N/A,,Driven
Composents/Manivelles,W1,,N/A,,Driven
Composents/Manivelles,L2,,51,mm,Driven
Composents/Manivelles,W2,,56,mm,Driven
Composents/Manivelles,L3,,79,mm,Driven
Composents/Manivelles,W3,,64,mm,Driven
Composents/Manivelles,L4,,185,mm,Driven
Composents/Manivelles,W4,,69,mm,Driven
Composents/Cintre,Standard,,Custom,,Driving
Composents/Cintre,Style,,1,,Driving
Composents/Cintre,Largeur,,730,mm,Driving
Composents/Cintre,A,,16,mm,Driving
Composents/Cintre,B,,1,mm,Driving
Composents/Cintre,C,,0,mm,Driving
Composents/Cintre,D,,25,mm,Driving
Composents/Cintre,E,,35,mm,Driving
Composents/Cintre,Y,,1,mm,Driven
Composents/Cintre,α,,N/A,,Driving
Composents/Cintre,R1,,N/A,,Driving
Composents/Cintre,ϑ,,0.0,°,Driven
Composents/Cintre,R2,,N/A,,Driving
Composents/Cintre,∠,,0.0,°,Driving
Composents/Cintre,∠2,,-21.0,°,Driven
Composents/Jeu de direction,Standard,,Cane Creek (Integrated),,Driving
Composents/Jeu de direction,Extra headset spacers,,0,mm,Driven
Composents/Jeu de direction,Entretoises,,0,mm,Driving
Composents/Jeu de direction,hauteur basse du jeu de direction,,1,mm,Driving
Composents/Jeu de direction,hauteur haute du jeu de direction,,9,mm,Driving
Composents/Panier,Standard,,Custom,,Driving
Composents/Panier,L,,330,mm,Driving
Composents/Panier,H,,350,mm,Driving
Composents/Panier,A,,170,mm,Driving
Composents/Panier,F,,170,mm,Driving
Composents/Panier,B,,56,mm,Driving
Composents/Panier,∠,,70.0,°,Driving
Composents/Panier,R,,15,mm,Driving
Composents/Panier,D,,10,mm,Driving
Composents/Panier,TA,,50,mm,Driving
Composents/Panier,TB,,10,mm,Driving
Composents/Panier,T2,,15,mm,Driving
Composents/Panier,E,,0,mm,Driving
Composents/Panier,Y1,,75,mm,Driving
Composents/Panier,R1,,15,mm,Driving
Composents/Panier,YA,,28,mm,Driving
Composents/Panier,RA,,15,mm,Driving
Composents/Panier,HA,,18,mm,Driving
Composents/Panier,G,,300,mm,Driving
Composents/Panier,Y2,,75,mm,Driving
Composents/Panier,R2,,15,mm,Driving
Composents/Panier,YB,,28,mm,Driving
Composents/Panier,RB,,15,mm,Driving
Composents/Panier,HB,,18,mm,Driving
Composents/Panier,FX,,N/A,,Driven
Composents/Panier,FY,,N/A,,Driven
Composents/Front rack,Standard,,Custom,,Driving
Composents/Front rack,L,,270,mm,Driving
Composents/Front rack,H,,290,mm,Driving
Composents/Front rack,A,,-200,mm,Driving
Composents/Front rack,F,,-230,mm,Driving
Composents/Front rack,B,,96,mm,Driving
Composents/Front rack,∠,,100.0,°,Driving
Composents/Front rack,R,,15,mm,Driving
Composents/Front rack,D,,10,mm,Driving
Composents/Front rack,TA,,20,mm,Driving
Composents/Front rack,TB,,23,mm,Driving
Composents/Front rack,T2,,3,mm,Driving
Composents/Front rack,E,,N/A,,Driving
Composents/Front rack,Y1,,N/A,,Driving
Composents/Front rack,R1,,N/A,,Driving
Composents/Front rack,YA,,N/A,,Driving
Composents/Front rack,RA,,N/A,,Driving
Composents/Front rack,HA,,N/A,,Driving
Composents/Front rack,G,,0,mm,Driving
Composents/Front rack,Y2,,75,mm,Driving
